"V1","V2","V3","V4"
"LinReg MS","8","0.0476190476190476","0.8"
"DataSplitting","8","0.0869565217391304","0.84"
"MultipleDataSplitting","8","0","0.84"
"Knockoff","8","0.0869565217391304","0.84"
"BH","8","0.0476190476190476","0.8"
"LinReg DS","8","0.0909090909090909","0.8"
"LinReg MS","8","0","0.84"
"DataSplitting","8","0","0.88"
"MultipleDataSplitting","8","0","0.84"
"Knockoff","8","0","0.88"
"BH","8","0","0.88"
"LinReg DS","8","0.173913043478261","0.76"
"LinReg MS","8","0","0.76"
"DataSplitting","8","0.16","0.84"
"MultipleDataSplitting","8","0.0454545454545455","0.84"
"Knockoff","8","0","0.84"
"BH","8","0","0.84"
"LinReg DS","8","0.352941176470588","0.88"
"LinReg MS","8","0","0.84"
"DataSplitting","8","0.225806451612903","0.96"
"MultipleDataSplitting","8","0.111111111111111","0.96"
"Knockoff","8","0.0416666666666667","0.92"
"BH","8","0","0.88"
"LinReg DS","8","0.15","0.68"
"LinReg MS","8","0","0.72"
"DataSplitting","8","0.08","0.92"
"MultipleDataSplitting","8","0","0.88"
"Knockoff","8","0","0.88"
"BH","8","0","0.84"
"LinReg DS","8","0.0952380952380952","0.76"
"LinReg MS","8","0","0.8"
"DataSplitting","8","0.125","0.84"
"MultipleDataSplitting","8","0.0869565217391304","0.84"
"Knockoff","8","0.275862068965517","0.84"
"BH","8","0","0.8"
"LinReg DS","8","0.05","0.76"
"LinReg MS","8","0.0454545454545455","0.84"
"DataSplitting","8","0.0454545454545455","0.84"
"MultipleDataSplitting","8","0","0.84"
"Knockoff","8","0.0454545454545455","0.84"
"BH","8","0","0.84"
"LinReg DS","8","0","0.6"
"LinReg MS","8","0","0.68"
"DataSplitting","8","0.2","0.8"
"MultipleDataSplitting","8","0","0.84"
"Knockoff","8","0.192307692307692","0.84"
"BH","8","0","0.76"
"LinReg DS","8","0.0434782608695652","0.88"
"LinReg MS","8","0","0.84"
"DataSplitting","8","0.115384615384615","0.92"
"MultipleDataSplitting","8","0","0.88"
"Knockoff","8","0.08","0.92"
"BH","8","0","0.92"
"LinReg DS","8","0.0869565217391304","0.84"
"LinReg MS","8","0","0.8"
"DataSplitting","8","0.0476190476190476","0.8"
"MultipleDataSplitting","8","0","0.8"
"Knockoff","8","0","0.84"
"BH","8","0","0.8"
"LinReg DS","8","0.0869565217391304","0.84"
"LinReg MS","8","0","0.84"
"DataSplitting","8","0","0.84"
"MultipleDataSplitting","8","0","0.8"
"Knockoff","8","0","0.84"
"BH","8","0","0.84"
"LinReg DS","8","0.0869565217391304","0.84"
"LinReg MS","8","0.0833333333333333","0.88"
"DataSplitting","8","0","0.88"
"MultipleDataSplitting","8","0","0.88"
"Knockoff","8","0","0.92"
"BH","8","0","0.88"
"LinReg DS","8","0","0.64"
"LinReg MS","8","0","0.68"
"DataSplitting","8","0.178571428571429","0.92"
"MultipleDataSplitting","8","0.115384615384615","0.92"
"Knockoff","8","0.12","0.88"
"BH","8","0.0434782608695652","0.88"
"LinReg DS","8","0","0.72"
"LinReg MS","8","0.172413793103448","0.96"
"DataSplitting","8","0","0.96"
"MultipleDataSplitting","8","0","0.96"
"Knockoff","8","0","0.96"
"BH","8","0","0.92"
"LinReg DS","8","0.0454545454545455","0.84"
"LinReg MS","8","0","0.84"
"DataSplitting","8","0.04","0.96"
"MultipleDataSplitting","8","0.04","0.96"
"Knockoff","8","0.0416666666666667","0.92"
"BH","8","0.0454545454545455","0.84"
"LinReg DS","8","0.0588235294117647","0.64"
"LinReg MS","8","0.0476190476190476","0.8"
"DataSplitting","8","0.0434782608695652","0.88"
"MultipleDataSplitting","8","0","0.8"
"Knockoff","8","0","0.84"
"BH","8","0","0.84"
"LinReg DS","8","0.0869565217391304","0.84"
"LinReg MS","8","0","0.84"
"DataSplitting","8","0.0416666666666667","0.92"
"MultipleDataSplitting","8","0.0434782608695652","0.88"
"Knockoff","8","0.0416666666666667","0.92"
"BH","8","0.0416666666666667","0.92"
"LinReg DS","8","0.2","0.64"
"LinReg MS","8","0.0526315789473684","0.72"
"DataSplitting","8","0.28125","0.92"
"MultipleDataSplitting","8","0.08","0.92"
"Knockoff","8","0.178571428571429","0.92"
"BH","8","0","0.8"
"LinReg DS","8","0","0.6"
"LinReg MS","8","0","0.76"
"DataSplitting","8","0","0.92"
"MultipleDataSplitting","8","0","0.88"
"Knockoff","8","0","0.88"
"BH","8","0","0.8"
"LinReg DS","8","0.0526315789473684","0.72"
"LinReg MS","8","0","0.72"
"DataSplitting","8","0","0.72"
"MultipleDataSplitting","8","0.05","0.76"
"Knockoff","8","0","0.72"
"BH","8","0","0.72"
"LinReg DS","8","0","0.84"
"LinReg MS","8","0","0.88"
"DataSplitting","8","0.153846153846154","0.88"
"MultipleDataSplitting","8","0","0.88"
"Knockoff","8","0.153846153846154","0.88"
"BH","8","0","0.88"
"LinReg DS","8","0","0.68"
"LinReg MS","8","0","0.72"
"DataSplitting","8","0.115384615384615","0.92"
"MultipleDataSplitting","8","0","0.88"
"Knockoff","8","0.0416666666666667","0.92"
"BH","8","0","0.84"
"LinReg DS","8","0.0952380952380952","0.76"
"LinReg MS","8","0","0.8"
"DataSplitting","8","0","0.84"
"MultipleDataSplitting","8","0.0434782608695652","0.88"
"Knockoff","8","0","0.84"
"BH","8","0","0.84"
"LinReg DS","8","0.0526315789473684","0.72"
"LinReg MS","8","0","0.84"
"DataSplitting","8","0","0.92"
"MultipleDataSplitting","8","0","0.88"
"Knockoff","8","0","0.92"
"BH","8","0","0.88"
"LinReg DS","8","0.16","0.84"
"LinReg MS","8","0","0.76"
"DataSplitting","8","0.0833333333333333","0.88"
"MultipleDataSplitting","8","0","0.84"
"Knockoff","8","0.12","0.88"
"BH","8","0","0.8"
"LinReg DS","8","0.2","0.8"
"LinReg MS","8","0","0.8"
"DataSplitting","8","0.0434782608695652","0.88"
"MultipleDataSplitting","8","0","0.88"
"Knockoff","8","0.0833333333333333","0.88"
"BH","8","0","0.84"
"LinReg DS","8","0","0.64"
"LinReg MS","8","0","0.84"
"DataSplitting","8","0.107142857142857","1"
"MultipleDataSplitting","8","0.04","0.96"
"Knockoff","8","0.0740740740740741","1"
"BH","8","0","0.96"
"LinReg DS","8","0.0588235294117647","0.64"
"LinReg MS","8","0.0909090909090909","0.8"
"DataSplitting","8","0.214285714285714","0.88"
"MultipleDataSplitting","8","0.12","0.88"
"Knockoff","8","0.0833333333333333","0.88"
"BH","8","0.0476190476190476","0.8"
"LinReg DS","8","0.1","0.72"
"LinReg MS","8","0","0.76"
"DataSplitting","8","0","0.8"
"MultipleDataSplitting","8","0","0.8"
"Knockoff","8","0.0909090909090909","0.8"
"BH","8","0","0.8"
"LinReg DS","8","0.166666666666667","0.8"
"LinReg MS","8","0","0.84"
"DataSplitting","8","0.0416666666666667","0.92"
"MultipleDataSplitting","8","0","0.84"
"Knockoff","8","0.0416666666666667","0.92"
"BH","8","0","0.88"
"LinReg DS","8","0.0909090909090909","0.8"
"LinReg MS","8","0","0.72"
"DataSplitting","8","0.0909090909090909","0.8"
"MultipleDataSplitting","8","0.05","0.76"
"Knockoff","8","0.230769230769231","0.8"
"BH","8","0","0.76"
"LinReg DS","8","0.266666666666667","0.88"
"LinReg MS","8","0.0434782608695652","0.88"
"DataSplitting","8","0.04","0.96"
"MultipleDataSplitting","8","0","0.96"
"Knockoff","8","0.04","0.96"
"BH","8","0","0.96"
"LinReg DS","8","0.12","0.88"
"LinReg MS","8","0","0.96"
"DataSplitting","8","0.04","0.96"
"MultipleDataSplitting","8","0","0.92"
"Knockoff","8","0","0.96"
"BH","8","0","0.96"
"LinReg DS","8","0.16","0.84"
"LinReg MS","8","0","0.8"
"DataSplitting","8","0.0434782608695652","0.88"
"MultipleDataSplitting","8","0.12","0.88"
"Knockoff","8","0.214285714285714","0.88"
"BH","8","0","0.8"
"LinReg DS","8","0","0.52"
"LinReg MS","8","0","0.52"
"DataSplitting","8","0.125","0.84"
"MultipleDataSplitting","8","0.0454545454545455","0.84"
"Knockoff","8","0.0454545454545455","0.84"
"BH","8","0","0.84"
"LinReg DS","8","0.0416666666666667","0.92"
"LinReg MS","8","0","0.92"
"DataSplitting","8","0.0416666666666667","0.92"
"MultipleDataSplitting","8","0.0434782608695652","0.88"
"Knockoff","8","0.08","0.92"
"BH","8","0","0.88"
"LinReg DS","8","0.105263157894737","0.68"
"LinReg MS","8","0","0.76"
"DataSplitting","8","0.153846153846154","0.88"
"MultipleDataSplitting","8","0","0.88"
"Knockoff","8","0.153846153846154","0.88"
"BH","8","0","0.84"
"LinReg DS","8","0.0434782608695652","0.88"
"LinReg MS","8","0.148148148148148","0.92"
"DataSplitting","8","0.2","0.96"
"MultipleDataSplitting","8","0.04","0.96"
"Knockoff","8","0.0769230769230769","0.96"
"BH","8","0","0.92"
"LinReg DS","8","0.208333333333333","0.76"
"LinReg MS","8","0","0.76"
"DataSplitting","8","0","0.88"
"MultipleDataSplitting","8","0","0.8"
"Knockoff","8","0","0.88"
"BH","8","0","0.84"
"LinReg DS","8","0.1","0.72"
"LinReg MS","8","0","0.72"
"DataSplitting","8","0.0434782608695652","0.88"
"MultipleDataSplitting","8","0","0.84"
"Knockoff","8","0","0.88"
"BH","8","0","0.76"
"LinReg DS","8","0.0769230769230769","0.48"
"LinReg MS","8","0","0.72"
"DataSplitting","8","0.32258064516129","0.84"
"MultipleDataSplitting","8","0.125","0.84"
"Knockoff","8","0.34375","0.84"
"BH","8","0","0.8"
"LinReg DS","8","0.0476190476190476","0.8"
"LinReg MS","8","0","0.88"
