"Method","Delta","FDP","Power"
"MultipleDataSplitting",8,0.0384615384615385,1
"Knockoff",8,0.0384615384615385,1
"Benjamini–Hochberg (BH)",8,0,1
"Boost DS",8,0.0909090909090909,0.8
"Boost MS",8,0,0.84
"DataSplitting",8,0.2,0.96
"MultipleDataSplitting",8,0,0.92
"Knockoff",8,0.142857142857143,0.96
"Benjamini–Hochberg (BH)",8,0,0.96
"Boost DS",9,0.222222222222222,0.84
"Boost MS",9,0,0.84
"DataSplitting",9,0.0416666666666667,0.92
"MultipleDataSplitting",9,0.0434782608695652,0.88
"Knockoff",9,0.111111111111111,0.96
"Benjamini–Hochberg (BH)",9,0,0.88
"Boost DS",9,0.05,0.76
"Boost MS",9,0,0.92
"DataSplitting",9,0.178571428571429,0.92
"MultipleDataSplitting",9,0,0.92
"Knockoff",9,0,0.92
"Benjamini–Hochberg (BH)",9,0,0.92
"Boost DS",9,0.173913043478261,0.76
"Boost MS",9,0.05,0.76
"DataSplitting",9,0.208333333333333,0.76
"MultipleDataSplitting",9,0.05,0.76
"Knockoff",9,0.05,0.76
"Benjamini–Hochberg (BH)",9,0,0.76
"Boost DS",9,0.181818181818182,0.72
"Boost MS",9,0,0.76
"DataSplitting",9,0.0454545454545455,0.84
"MultipleDataSplitting",9,0,0.8
"Knockoff",9,0.16,0.84
"Benjamini–Hochberg (BH)",9,0,0.76
"Boost DS",9,0.0625,0.6
"Boost MS",9,0,0.76
"DataSplitting",9,0.230769230769231,0.8
"MultipleDataSplitting",9,0,0.84
"Knockoff",9,0.0833333333333333,0.88
"Benjamini–Hochberg (BH)",9,0,0.8
"Boost DS",9,0.136363636363636,0.76
"Boost MS",9,0,0.8
"DataSplitting",9,0.0869565217391304,0.84
"MultipleDataSplitting",9,0,0.88
"Knockoff",9,0.12,0.88
"Benjamini–Hochberg (BH)",9,0,0.84
"Boost DS",9,0,0.8
"Boost MS",9,0,0.8
"DataSplitting",9,0.0434782608695652,0.88
"MultipleDataSplitting",9,0,0.88
"Knockoff",9,0.04,0.96
"Benjamini–Hochberg (BH)",9,0,0.92
"Boost DS",9,0,0.68
"Boost MS",9,0,0.64
"DataSplitting",9,0,0.68
"MultipleDataSplitting",9,0,0.8
"Knockoff",9,0,0.84
"Benjamini–Hochberg (BH)",9,0,0.84
"Boost DS",9,0.2,0.32
"Boost MS",9,0,0.56
"DataSplitting",9,0.0454545454545455,0.84
"MultipleDataSplitting",9,0,0.76
"Knockoff",9,0,0.8
"Benjamini–Hochberg (BH)",9,0,0.76
"Boost DS",9,0.136363636363636,0.76
"Boost MS",9,0,0.84
"DataSplitting",9,0.08,0.92
"MultipleDataSplitting",9,0.08,0.92
"Knockoff",9,0.233333333333333,0.92
"Benjamini–Hochberg (BH)",9,0,0.88
"Boost DS",9,0.0555555555555556,0.68
"Boost MS",9,0,0.72
"DataSplitting",9,0.0869565217391304,0.84
"MultipleDataSplitting",9,0,0.84
"Knockoff",9,0,0.88
"Benjamini–Hochberg (BH)",9,0,0.8
"Boost DS",9,0,0.6
"Boost MS",9,0,0.68
"DataSplitting",9,0.0454545454545455,0.84
"MultipleDataSplitting",9,0,0.84
"Knockoff",9,0,0.92
"Benjamini–Hochberg (BH)",9,0,0.72
"Boost DS",9,0,0.8
"Boost MS",9,0.0869565217391304,0.84
"DataSplitting",9,0.12,0.88
"MultipleDataSplitting",9,0.0416666666666667,0.92
"Knockoff",9,0.258064516129032,0.92
"Benjamini–Hochberg (BH)",9,0,0.84
"Boost DS",9,0.0476190476190476,0.8
"Boost MS",9,0,0.88
"DataSplitting",9,0,0.92
"MultipleDataSplitting",9,0,0.92
"Knockoff",9,0.08,0.92
"Benjamini–Hochberg (BH)",9,0,0.92
"Boost DS",9,0.28,0.72
"Boost MS",9,0,0.76
"DataSplitting",9,0.0909090909090909,0.8
"MultipleDataSplitting",9,0,0.88
"Knockoff",9,0.0434782608695652,0.88
"Benjamini–Hochberg (BH)",9,0,0.88
"Boost DS",9,0,0.88
"Boost MS",9,0,0.96
"DataSplitting",9,0.0740740740740741,1
"MultipleDataSplitting",9,0,1
"Knockoff",9,0.193548387096774,1
"Benjamini–Hochberg (BH)",9,0,1
"Boost DS",9,0,0.84
"Boost MS",9,0.12,0.88
"DataSplitting",9,0.111111111111111,0.96
"MultipleDataSplitting",9,0,0.92
"Knockoff",9,0,0.96
"Benjamini–Hochberg (BH)",9,0,0.96
"Boost DS",9,0.0625,0.6
