"V1" "V2" "V3" "V4" "V5" "mean_rsquared"
"result.98" 850 149 16 0.635870363633447 0.590269317790318 0.613069840711883
"result.99" 850 149 21 0.595135302667393 0.610321855986019 0.602728579326706
"result.100" 850 208 1 0.614836489873738 0.599579009611356 0.607207749742547
"result.101" 850 208 6 0.601382743994032 0.594961099443111 0.598171921718571
"result.102" 850 208 11 0.608915450441963 0.607408905864054 0.608162178153008
"result.103" 850 208 16 0.601968114217117 0.618582605624444 0.610275359920781
"result.104" 850 208 21 0.614234928748479 0.623987339830308 0.619111134289394
"result.105" 850 260 1 0.606297439560777 0.600961394592817 0.603629417076797
"result.106" 850 260 6 0.611292085136762 0.597372506408951 0.604332295772857
"result.107" 850 260 11 0.601211654043436 0.608960728443817 0.605086191243626
"result.108" 850 260 16 0.611526638122501 0.606624612950968 0.609075625536734
"result.109" 850 260 21 0.619274112725707 0.616820985884491 0.618047549305099
"result.110" 850 347 1 0.586036735901849 0.636316016472117 0.611176376186983
"result.111" 850 347 6 0.595028814327647 0.602923540713669 0.598976177520658
"result.112" 850 347 11 0.613930405337822 0.602166170767073 0.608048288052448
"result.113" 850 347 16 0.618982006507252 0.611699721774137 0.615340864140694
"result.114" 850 347 21 0.596818544602668 0.639205914715042 0.618012229658855
"result.115" 850 521 1 0.590525606414612 0.619786870898281 0.605156238656447
"result.116" 850 521 6 0.617613728991655 0.62098319005907 0.619298459525362
"result.117" 850 521 11 0.611262784222202 0.617787344921001 0.614525064571602
"result.118" 850 521 16 0.617194636000761 0.612033874325966 0.614614255163363
"result.119" 850 521 21 0.636996567356766 0.607689701680034 0.6223431345184
