"Method","Delta","FDP","Power"
"Boost MS",10,0,0.88
"DataSplitting",10,0,0
"MultipleDataSplitting",10,0,0
"Knockoff",10,0,0
"Benjamini–Hochberg (BH)",10,0,0
"Boost DS",10,0.16,0.84
"Boost MS",10,0.0869565217391304,0.84
"DataSplitting",10,0,0
"MultipleDataSplitting",10,0,0
"Knockoff",10,0,0
"Benjamini–Hochberg (BH)",10,0,0
"Boost DS",10,0.0434782608695652,0.88
"Boost MS",10,0,0.88
"DataSplitting",10,0,0
"MultipleDataSplitting",10,0,0
"Knockoff",10,0,0
"Benjamini–Hochberg (BH)",10,0,0
"Boost DS",10,0.12,0.88
"Boost MS",10,0,0.88
"DataSplitting",10,0,0
"MultipleDataSplitting",10,0,0
"Knockoff",10,0,0
"Benjamini–Hochberg (BH)",10,0,0
"Boost DS",10,0.15,0.68
"Boost MS",10,0,0.68
"DataSplitting",10,0,0
"MultipleDataSplitting",10,0,0
"Knockoff",10,0,0
"Benjamini–Hochberg (BH)",10,0,0
"Boost DS",10,0,0.68
"Boost MS",10,0.259259259259259,0.8
"DataSplitting",10,0,0
"MultipleDataSplitting",10,0,0
"Knockoff",10,0,0
"Benjamini–Hochberg (BH)",10,0,0
"Boost DS",10,0.130434782608696,0.8
"Boost MS",10,0.0476190476190476,0.8
"DataSplitting",10,0,0
"MultipleDataSplitting",10,0,0
"Knockoff",10,0,0
"Benjamini–Hochberg (BH)",10,0,0
"Boost DS",10,0.178571428571429,0.92
"Boost MS",10,0,0.92
"DataSplitting",10,0,0
"MultipleDataSplitting",10,0,0
"Knockoff",10,0,0
"Benjamini–Hochberg (BH)",10,0,0
"Boost DS",10,0.0833333333333333,0.88
"Boost MS",10,0.0769230769230769,0.96
"DataSplitting",10,0,0
"MultipleDataSplitting",10,0,0
"Knockoff",10,0,0
"Benjamini–Hochberg (BH)",10,0,0
"Boost DS",10,0.0476190476190476,0.8
"Boost MS",10,0.0833333333333333,0.88
"DataSplitting",10,0,0
"MultipleDataSplitting",10,0,0
"Knockoff",10,0,0
"Benjamini–Hochberg (BH)",10,0,0
"Boost DS",10,0,0.8
"Boost MS",10,0,0.8
"DataSplitting",10,0,0
"MultipleDataSplitting",10,0,0
"Knockoff",10,0,0
"Benjamini–Hochberg (BH)",10,0,0
"Boost DS",10,0.0476190476190476,0.8
"Boost MS",10,0.0909090909090909,0.8
"DataSplitting",10,0,0
"MultipleDataSplitting",10,0,0
"Knockoff",10,0,0
"Benjamini–Hochberg (BH)",10,0,0
"Boost DS",10,0.153846153846154,0.88
"Boost MS",10,0.08,0.92
"DataSplitting",10,0,0
"MultipleDataSplitting",10,0,0
"Knockoff",10,0,0
"Benjamini–Hochberg (BH)",10,0,0
"Boost DS",10,0.0909090909090909,0.8
"Boost MS",10,0,0.92
"DataSplitting",10,0,0
"MultipleDataSplitting",10,0,0
"Knockoff",10,0,0
"Benjamini–Hochberg (BH)",10,0,0
"Boost DS",10,0.105263157894737,0.68
"Boost MS",10,0,0.64
"DataSplitting",10,0,0
"MultipleDataSplitting",10,0,0
"Knockoff",10,0,0
"Benjamini–Hochberg (BH)",10,0,0
"Boost DS",10,0,0.72
"Boost MS",10,0.05,0.76
"DataSplitting",10,0,0
"MultipleDataSplitting",10,0,0
"Knockoff",10,0,0
"Benjamini–Hochberg (BH)",10,0,0
"Boost DS",10,0,0.92
"Boost MS",10,0,0.96
"DataSplitting",10,0,0
"MultipleDataSplitting",10,0,0
"Knockoff",10,0,0
"Benjamini–Hochberg (BH)",10,0,0
"Boost DS",10,0.05,0.76
"Boost MS",10,0.0476190476190476,0.8
"DataSplitting",10,0,0
"MultipleDataSplitting",10,0,0
"Knockoff",10,0,0
"Benjamini–Hochberg (BH)",10,0,0
"Boost DS",10,0.1,0.72
"Boost MS",10,0.0476190476190476,0.8
"DataSplitting",10,0,0
"MultipleDataSplitting",10,0,0
"Knockoff",10,0,0
"Benjamini–Hochberg (BH)",10,0,0
"Boost DS",10,0.233333333333333,0.92
"Boost MS",10,0,0.88
"DataSplitting",10,0,0
"MultipleDataSplitting",10,0,0
"Knockoff",10,0,0
"Benjamini–Hochberg (BH)",10,0,0
"Boost DS",10,0.208333333333333,0.76
"Boost MS",10,0,0.84
"DataSplitting",10,0,0
"MultipleDataSplitting",10,0,0
"Knockoff",10,0,0
"Benjamini–Hochberg (BH)",10,0,0
"Boost DS",10,0.0434782608695652,0.88
"Boost MS",10,0,0.88
"DataSplitting",10,0,0
"MultipleDataSplitting",10,0,0
"Knockoff",10,0,0
"Benjamini–Hochberg (BH)",10,0,0
"Boost DS",11,0,0.88
"Boost MS",11,0,0.84
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0,0.88
"Boost MS",11,0.153846153846154,0.88
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.0869565217391304,0.84
"Boost MS",11,0.0869565217391304,0.84
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.0454545454545455,0.84
"Boost MS",11,0.12,0.88
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0,0.84
"Boost MS",11,0,0.84
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.12,0.88
"Boost MS",11,0,0.88
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.0434782608695652,0.88
"Boost MS",11,0,0.88
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0,0.68
"Boost MS",11,0,0.68
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0,0.68
"Boost MS",11,0,0.72
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.05,0.76
"Boost MS",11,0,0.76
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.148148148148148,0.92
"Boost MS",11,0,0.92
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.142857142857143,0.96
"Boost MS",11,0,0.92
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.0434782608695652,0.88
"Boost MS",11,0,0.88
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0,0.8
"Boost MS",11,0,0.8
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.0454545454545455,0.84
"Boost MS",11,0,0.8
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.153846153846154,0.88
"Boost MS",11,0.0416666666666667,0.92
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.0869565217391304,0.84
"Boost MS",11,0,0.92
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0,0.64
"Boost MS",11,0,0.68
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.142857142857143,0.72
"Boost MS",11,0.0869565217391304,0.84
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.25,0.96
"Boost MS",11,0,0.96
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
