"seed","Method","Delta","FDP","Power"
10,"Benjamini–Hochberg (BH)",8,0,0.84
11,"Boost DS",8,0.166666666666667,0.8
11,"Boost MS",8,0,0.76
11,"DataSplitting",8,0,0.84
11,"MultipleDataSplitting",8,0.0454545454545455,0.84
11,"Knockoff",8,0.185185185185185,0.88
11,"Benjamini–Hochberg (BH)",8,0,0.76
12,"Boost DS",8,0,0.56
12,"Boost MS",8,0,0.56
12,"DataSplitting",8,0,0.6
12,"MultipleDataSplitting",8,0,0.6
12,"Knockoff",8,0.1,0.72
12,"Benjamini–Hochberg (BH)",8,0,0.6
13,"Boost DS",8,0.0434782608695652,0.88
13,"Boost MS",8,0,0.92
13,"DataSplitting",8,0.0740740740740741,1
13,"MultipleDataSplitting",8,0,0.92
13,"Knockoff",8,0.04,0.96
13,"Benjamini–Hochberg (BH)",8,0,0.96
14,"Boost DS",8,0.233333333333333,0.92
14,"Boost MS",8,0.172413793103448,0.96
14,"DataSplitting",8,0,0.96
14,"MultipleDataSplitting",8,0,0.96
14,"Knockoff",8,0.04,0.96
14,"Benjamini–Hochberg (BH)",8,0,0.96
15,"Boost DS",8,0,0.84
15,"Boost MS",8,0,0.92
15,"DataSplitting",8,0.115384615384615,0.92
15,"MultipleDataSplitting",8,0,0.92
15,"Knockoff",8,0,0.96
15,"Benjamini–Hochberg (BH)",8,0,0.92
16,"Boost DS",8,0.153846153846154,0.88
16,"Boost MS",8,0,0.92
16,"DataSplitting",8,0.0416666666666667,0.92
16,"MultipleDataSplitting",8,0,0.92
16,"Knockoff",8,0.0416666666666667,0.92
16,"Benjamini–Hochberg (BH)",8,0,0.92
17,"Boost DS",8,0.05,0.76
17,"Boost MS",8,0,0.84
17,"DataSplitting",8,0,0.92
17,"MultipleDataSplitting",8,0.08,0.92
17,"Knockoff",8,0.0416666666666667,0.92
17,"Benjamini–Hochberg (BH)",8,0,0.88
18,"Boost DS",8,0,0.72
18,"Boost MS",8,0.0952380952380952,0.76
18,"DataSplitting",8,0.0454545454545455,0.84
18,"MultipleDataSplitting",8,0.0476190476190476,0.8
18,"Knockoff",8,0,0.8
18,"Benjamini–Hochberg (BH)",8,0,0.76
19,"Boost DS",8,0.125,0.84
19,"Boost MS",8,0.0454545454545455,0.84
19,"DataSplitting",8,0.111111111111111,0.96
19,"MultipleDataSplitting",8,0.0416666666666667,0.92
19,"Knockoff",8,0.04,0.96
19,"Benjamini–Hochberg (BH)",8,0,0.84
20,"Boost DS",8,0.05,0.76
20,"Boost MS",8,0,0.76
20,"DataSplitting",8,0,0.88
20,"MultipleDataSplitting",8,0,0.84
20,"Knockoff",8,0.0833333333333333,0.88
20,"Benjamini–Hochberg (BH)",8,0,0.84
21,"Boost DS",8,0.258064516129032,0.92
21,"Boost MS",8,0.25,0.96
21,"DataSplitting",8,0.04,0.96
21,"MultipleDataSplitting",8,0.04,0.96
21,"Knockoff",8,0.0769230769230769,0.96
21,"Benjamini–Hochberg (BH)",8,0,0.96
22,"Boost DS",8,0.05,0.76
22,"Boost MS",8,0,0.68
22,"DataSplitting",8,0.125,0.84
22,"MultipleDataSplitting",8,0.0833333333333333,0.88
22,"Knockoff",8,0,0.88
22,"Benjamini–Hochberg (BH)",8,0,0.8
23,"Boost DS",8,0,0.68
23,"Boost MS",8,0,0.68
23,"DataSplitting",8,0.0952380952380952,0.76
23,"MultipleDataSplitting",8,0,0.72
23,"Knockoff",8,0.1,0.72
23,"Benjamini–Hochberg (BH)",8,0,0.68
24,"Boost DS",8,0.166666666666667,0.8
